"","path","frac_train","split_seed","block_seed_train","block_seed_test","block_order_train_for_BWM","block_order_test_for_BWM","train_pattern","train_pattern_seed","test_pattern","common_blocks","ntree","mtry","min_node_size","AUC","Accuracy","Sensitivity","Specificity","Precision","Recall","F1","BrierScore","repetition","approach"
"Accuracy","./Data/Raw/BRCA.Rda",0.75,12345679,1234568,7654322,"clin - cnv - rna - mirna","clin - mirna - cnv - rna",5,12346,1,"clin",500,3,1,0.706010298295455,0.685185185185185,0.545454545454545,0.78125,0.631578947368421,0.545454545454545,0.585365853658537,0.227767275888165,1,"Imputation"
"Accuracy1","./Data/Raw/BRCA.Rda",0.75,12345680,1234569,7654323,"clin - mirna - cnv - rna","clin - rna - mirna - cnv",5,12347,1,"clin",500,3,1,0.764169275612652,0.777777777777778,0.576271186440678,0.853503184713376,0.596491228070175,0.576271186440678,0.586206896551724,0.165269303627859,2,"Imputation"
"Accuracy2","./Data/Raw/BRCA.Rda",0.75,12345681,1234570,7654324,"clin - cnv - rna - mirna","clin - rna - cnv - mirna",5,12348,1,"clin",500,3,1,0.776644736842105,0.75,0.565789473684211,0.85,0.671875,0.565789473684211,0.614285714285714,0.179309459983231,3,"Imputation"
"Accuracy3","./Data/Raw/BRCA.Rda",0.75,12345682,1234571,7654325,"clin - mirna - rna - cnv","clin - mirna - rna - cnv",5,12349,1,"clin",500,3,1,0.775130023640662,0.768518518518518,0.613333333333333,0.851063829787234,0.686567164179104,0.613333333333333,0.647887323943662,0.174061792097399,4,"Imputation"
"Accuracy4","./Data/Raw/BRCA.Rda",0.75,12345683,1234572,7654326,"clin - rna - mirna - cnv","clin - mirna - cnv - rna",5,12350,1,"clin",500,3,1,0.702849264705882,0.731481481481482,0.5875,0.816176470588235,0.652777777777778,0.5875,0.618421052631579,0.217141455533121,5,"Imputation"
"Accuracy5","./Data/Raw/BRCA.Rda",0.75,12345679,1234568,7654322,"clin - cnv - rna - mirna","clin - mirna - cnv - rna",5,12346,2,"clin - mirna",500,30,1,0.801003196022727,0.75462962962963,0.534090909090909,0.90625,0.796610169491525,0.534090909090909,0.639455782312925,0.17914926991161,1,"Imputation"
"Accuracy6","./Data/Raw/BRCA.Rda",0.75,12345680,1234569,7654323,"clin - mirna - cnv - rna","clin - rna - mirna - cnv",5,12347,2,"clin - rna",500,151,1,0.887833315340602,0.875,0.677966101694915,0.949044585987261,0.833333333333333,0.677966101694915,0.747663551401869,0.131959798922527,2,"Imputation"
"Accuracy7","./Data/Raw/BRCA.Rda",0.75,12345681,1234570,7654324,"clin - cnv - rna - mirna","clin - rna - cnv - mirna",5,12348,2,"clin - rna",500,151,1,0.921710526315789,0.861111111111111,0.736842105263158,0.928571428571429,0.848484848484849,0.736842105263158,0.788732394366197,0.127620138367283,3,"Imputation"
"Accuracy8","./Data/Raw/BRCA.Rda",0.75,12345682,1234571,7654325,"clin - mirna - rna - cnv","clin - mirna - rna - cnv",5,12349,2,"clin - mirna",500,30,1,0.883829787234043,0.824074074074074,0.693333333333333,0.893617021276596,0.776119402985075,0.693333333333333,0.732394366197183,0.13471442264133,4,"Imputation"
"Accuracy9","./Data/Raw/BRCA.Rda",0.75,12345683,1234572,7654326,"clin - rna - mirna - cnv","clin - mirna - cnv - rna",5,12350,2,"clin - mirna",500,30,1,0.833869485294118,0.787037037037037,0.575,0.911764705882353,0.793103448275862,0.575,0.666666666666667,0.161846791032271,5,"Imputation"
